Tendencia ;Parámetro;Porcentaje (%);Fuente
Plataformas Low-Code y No-Code;;;
;Crecimiento anual del mercado de plataformas Low-Code/No-Code;28% anual de crecimiento proyectado;Forrester, Gartner
;Empresas que utilizan plataformas Low-Code/No-Code;60% de las empresas globales;McKinsey, TICNUS
;Reducción del tiempo de desarrollo de aplicaciones.;Hasta un 70% más rápido que el desarrollo tradicional;Gartner, Forrester
;Aumento en la productividad de desarrolladores con Low-Code;50% de incremento en productividad;McKinsey, Forbes
;Uso de plataformas Low-Code en pequeñas y medianas empresas;40% de las pymes adoptan estas plataformas;IDC, Forrester
;Uso de herramientas de automatización sin necesidad de código;50% de adopción en el ámbito empresarial;Gartner, McKinsey
;Reducción de costos en el desarrollo de software.;Ahorro del 30% al 50% en costos operativos;Forrester, IDC
;Demanda de desarrolladores con habilidades Low-Code/No-Code;Incremento del 40% en vacantes para perfiles Low-Code;McKinsey, TICNUS
;Implementación de soluciones para automatizar procesos de negocio.;50% de las empresas optan por plataformas Low-Code;IDC, Forrester
;Incremento en la adopción de aplicaciones en la nube mediante Low-Code;80% de adopción de plataformas en la nube;Gartner, McKinsey
;Empresas que integran plataformas Low-Code con herramientas tradicionales;58% de las empresas utilizan integraciones mixtas;IDC, Forrester
;Uso de plataformas Low-Code para aplicaciones móviles;45% de adopción para desarrollo de aplicaciones móviles;McKinsey, Forrester
;Reducción en la necesidad de equipos de desarrollo extensos;55% menos necesidad de equipos grandes de desarrollo;Gartner, McKinsey
;Incremento en la creación de prototipos con Low-Code;65% de uso para prototipos rápidos;Forrester, TICNUS
;Implementación de patrones de diseño avanzados.;"50% usan patrones como ""Event-Driven"" para mejorar la integración";TICNUS, IDC
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
