Tecnología;Parámetro;Porcentaje;Fuente
Sostenibilidad en el Software;Uso de energía renovable en data centers;65%;Fuente: Pibeca Solutions, 2024
;Optimización del código para eficiencia energética;58%;Fuente: McKinsey, 2024
;Implementación de métricas ESG;72%;Fuente: Pibeca Solutions
;Reducción de huella de carbono del software;60%;Fuente: McKinsey
;Análisis de emisiones en la cadena de suministro;48%;Fuente: Hostinger, 2024
;Migración a la nube verde;43%;Fuente: McKinsey, 2024
;Uso de herramientas de desarrollo sostenible;41%;Fuente: McKinsey y Pibeca Solutions
;Inversión en innovación sostenible;57%;Fuente: McKinsey, 2024
;Regulación conforme a normativas ambientales;68%;Fuente: McKinsey y Pibeca Solutions
;Prioridad en la sostenibilidad como estrategia empresarial;74%;Fuente: Hostinger
;Uso de arquitecturas de microservicios eficientes;50%;Fuente: McKinsey, 2024
;Enfoque en reciclaje de hardware;40%;Fuente: McKinsey, 2024
;Sustentabilidad en diseño de aplicaciones;55%;Fuente: Hostinger
;Formación interna sobre sostenibilidad;36%;Fuente: McKinsey
;"Implementación de estándares de ""Net-Zero""";46%;Fuente: Pibeca Solutions
;Transparencia en informes de sostenibilidad;62%;Fuente: McKinsey, 2024
;Participación en proyectos colaborativos de sostenibilidad;39%;Fuente: Pibeca Solutions
;Monitoreo en tiempo real de impacto ambiental;44%;Fuente: Hostinger, 2024
;;;
;;;
;;;
